"id","description","impuesto","name","codigoporcentaje","codigo","type_tax_use","amount_type","amount","python_compute","python_applicable","tax_group_id:id","tag_ids:id","sequence"
"tax_103308","Utilización o aprovechamiento de la imagen o renombre","308","308","308","1","purchase","code","-10","result = round(price_unit*quantity, 2)*-0.1 -0.0001","result = True","tax_group_retair","account_tag_103308","100"
"tax_103309","Servicios prestados por medios de comunicación y agencias de publicidad","309","309","309","1","purchase","code","-1","result = round(price_unit*quantity, 2)*-0.01 -0.0001","result = True","tax_group_retair","account_tag_103309","100"
"tax_103310","Servicio de transporte privado de pasajeros o transporte público o privado de carga","310","310","310","1","purchase","code","-1","result = round(price_unit*quantity, 2)*-0.01 -0.0001","result = True","tax_group_retair","account_tag_103310","100"
"tax_103311","Por pagos a través de liquidación de compra (nivel cultural o rusticidad)","311","311","311","1","purchase","code","-2","result = round(price_unit*quantity, 2)*-0.02 -0.0001","result = True","tax_group_retair","account_tag_103311","100"
"tax_103312","Transferencia de bienes muebles de naturaleza corporal","312","312","312","1","purchase","code","-1","result = round(price_unit*quantity, 2)*-0.01 -0.0001","result = True","tax_group_retair","account_tag_103312","100"
"tax_103312A","Compra de bienes de origen agrícola, avícola, pecuario, apícola, cunícula, bioacuático, y forestal","312A","312A","312A","1","purchase","code","-1","result = round(price_unit*quantity, 2)*-0.01 -0.0001","result = True","tax_group_retair","account_tag_103312","100"
"tax_103314B","Cánones, derechos de autor,  marcas, patentes y similares de acuerdo a Ley de Propiedad Intelectual – pago a personas naturales","314B","314B","314B","1","purchase","code","-8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103314","100"
"tax_103314D","Cánones, derechos de autor,  marcas, patentes y similares de acuerdo a Ley de Propiedad Intelectual – pago a sociedades","314D","314D","314D","1","purchase","code","-8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103314","100"
"tax_103319","Cuotas de arrendamiento mercantil, inclusive la de opción de compra","319","319","319","1","purchase","code","-1","result = round(price_unit*quantity, 2)*-0.01 -0.0001","result = True","tax_group_retair","account_tag_103319","100"
"tax_103320","Por arrendamiento bienes inmuebles","320","320","320","1","purchase","code","-8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103320","100"
"tax_103322","Seguros y reaseguros (primas y cesiones)","322","322","322","1","purchase","code","1","result = round((price_unit * quantity * 0.10), 2)*-0.01 -0.0001","result = True","tax_group_retair","account_tag_103322","100"
"tax_103323","Rendimientos financieros | pagados a naturales y sociedades (No a IFIs)","323","323","323","1","purchase","code","-2","result = round(price_unit*quantity, 2)*-0.02 -0.0001","result = True","tax_group_retair","account_tag_103323","100"
"tax_103323M","Rendimientos financieros: Inversiones en títulos valores en renta fija gravados","323M","323M","323M","1","purchase","code","-2","result = round(price_unit*quantity, 2)*-0.02 -0.0001","result = True","tax_group_retair","account_tag_103323","100"
"tax_103323N","Rendimientos financieros: Inversiones en títulos valores en renta fija exentos","323N","323N","323N","1","purchase","code","0","result = 0","result = True","tax_group_retair","account_tag_103323","100"
"tax_103323O","Intereses y demás rendimientos financieros pagados a bancos y otras entidades sometidas al control de la Superintendencia de Bancos y de la Economía Popular y Solidaria","323O","323O","323O","1","purchase","code","0","result = 0","result = True","tax_group_retair","account_tag_103323","100"
"tax_103332","Otras compras de bienes y servicios no sujetas a retención","332","332","332","1","purchase","percent","0",,"result = True","tax_group_retair","account_tag_103332","100"
"tax_103332B","Compra de bienes inmuebles","332B","332B","332B","1","purchase","percent","0",,"result = True","tax_group_retair","account_tag_103332","100"
"tax_103332C","Transporte público de pasajeros","332C","332C","332C","1","purchase","percent","0",,"result = True","tax_group_retair","account_tag_103332","100"
"tax_103332D","Pagos en el país por transporte de pasajeros o transporte internacional de carga, a compañías nacionales o extranjeras de aviación o marítimas","332D","332D","332D","1","purchase","percent","0",,"result = True","tax_group_retair","account_tag_103332","100"
"tax_103332G","Pagos con tarjeta de crédito","332G","332G","332G","1","purchase","percent","0",,"result = True","tax_group_retair","account_tag_103332","100"
"tax_103332I","Pagos con convenio de débito","332I","332I","332I","1","purchase","percent","0",,"result = True","tax_group_retair","account_tag_103332","100"
"tax_103334","Enajenación de derechos representativos de capital y otros derechos no cotizados en bolsa ecuatoriana","334","334","334","1","purchase","code","-1","result = round(price_unit*quantity, 2)*-0.01 -0.0001","result = True","tax_group_retair","account_tag_103334","100"
"tax_103343","Otras retenciones aplicables el 1%","343","343","343","1","purchase","code","-1","result = round(price_unit*quantity, 2)*-0.01 -0.0001","result = True","tax_group_retair","account_tag_103343","100"
"tax_103343A","Energía electrica (1%)","343A","343A","343A","1","purchase","code","-1","result = round(price_unit*quantity, 2)*-0.01 -0.0001","result = True","tax_group_retair","account_tag_103343","100"
"tax_103344","Otras retenciones aplicables el 2%","344","344","344","1","purchase","code","-2","result = round(price_unit*quantity, 2)*-0.02 -0.0001","result = True","tax_group_retair","account_tag_103344","100"
"tax_103345","Otras retenciones aplicables el 8%","345","345","345","1","purchase","code","-8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103345","100"
"tax_10334600","Aplicables a otros porcentajes 0%","346","346 | 0%","346","1","purchase","code","0","result = 0","result = True","tax_group_retair","account_tag_103346","100"
"tax_10334602","Aplicables a otros porcentajes 2%","346","346 | 2%","346","1","purchase","code","2","result = round(price_unit*quantity, 2)*-0.02 -0.0001","result = True","tax_group_retair","account_tag_103346","100"
"tax_10334604","Aplicables a otros porcentajes 4%","346","346 | 4%","346","1","purchase","code","4","result = round(price_unit*quantity, 2)*-0.04 -0.0001","result = True","tax_group_retair","account_tag_103346","100"
"tax_10334606","Aplicables a otros porcentajes 6%","346","346 | 6%","346","1","purchase","code","6","result = round(price_unit*quantity, 2)*-0.06 -0.0001","result = True","tax_group_retair","account_tag_103346","100"
"tax_10334608","Aplicables a otros porcentajes 8%","346","346 | 8%","346","1","purchase","code","8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103346","100"
"tax_10334610","Aplicables a otros porcentajes 10%","346","346 | 10%","346","1","purchase","code","10","result = round(price_unit*quantity, 2)*-0.10 -0.0001","result = True","tax_group_retair","account_tag_103346","100"
"tax_10341900521","Pago a no residentes - Enajenación de derechos representativos de capital y otros derechos 0%","521","419 | 0% (521)","521","1","purchase","code","0","result = 0","result = True","tax_group_retair","account_tag_103419","100"
"tax_10341902521","Pago a no residentes - Enajenación de derechos representativos de capital y otros derechos 2%","521","419 | 2% (521)","521","1","purchase","code","2","result = round(price_unit*quantity, 2)*-0.02 -0.0001","result = True","tax_group_retair","account_tag_103419","100"
"tax_10341904521","Pago a no residentes - Enajenación de derechos representativos de capital y otros derechos 4%","521","419 | 4% (521)","521","1","purchase","code","4","result = round(price_unit*quantity, 2)*-0.04 -0.0001","result = True","tax_group_retair","account_tag_103419","100"
"tax_10341906521","Pago a no residentes - Enajenación de derechos representativos de capital y otros derechos 6%","521","419 | 6% (521)","521","1","purchase","code","6","result = round(price_unit*quantity, 2)*-0.06 -0.0001","result = True","tax_group_retair","account_tag_103419","100"
"tax_10341908521","Pago a no residentes - Enajenación de derechos representativos de capital y otros derechos 8%","521","419 | 8% (521)","521","1","purchase","code","8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103419","100"
"tax_10341910521","Pago a no residentes - Enajenación de derechos representativos de capital y otros derechos 10%","521","419 | 10% (521)","521","1","purchase","code","10","result = round(price_unit*quantity, 2)*-0.10 -0.0001","result = True","tax_group_retair","account_tag_103419","100"
"tax_10342225501","Pago a no residentes - Beneficios/Servicios Empresariales 25%","501","422 | 25% (501)","501","1","purchase","code","25","result = round(price_unit*quantity, 2)*-0.25 -0.0001","result = True","tax_group_retair","account_tag_103422","100"
